word:what start_time:0:0 end_time:0:0
word:I start_time:0:0 end_time:0:1
word:want start_time:0:1 end_time:0:1
word:to start_time:0:1 end_time:0:1
word:do start_time:0:1 end_time:0:1
word:in start_time:0:1 end_time:0:1
word:this start_time:0:1 end_time:0:1
word:videos start_time:0:1 end_time:0:2
word:come start_time:0:2 end_time:0:2
word:up start_time:0:2 end_time:0:2
word:with start_time:0:2 end_time:0:3
word:an start_time:0:3 end_time:0:3
word:expression start_time:0:3 end_time:0:3
word:for start_time:0:3 end_time:0:4
word:finding start_time:0:4 end_time:0:5
word:the start_time:0:5 end_time:0:5
word:sum start_time:0:5 end_time:0:5
word:from start_time:0:5 end_time:0:5
word:I start_time:0:5 end_time:0:6
word:equals start_time:0:6 end_time:0:6
word:0 start_time:0:6 end_time:0:7
word:to start_time:0:7 end_time:0:7
word:n start_time:0:7 end_time:0:8
word:of start_time:0:8 end_time:0:8
word:I start_time:0:8 end_time:0:9
word:squared start_time:0:9 end_time:0:9
word:so start_time:0:9 end_time:0:9
word:if start_time:0:9 end_time:0:9
word:I start_time:0:9 end_time:0:9
word:were start_time:0:9 end_time:0:9
word:to start_time:0:9 end_time:0:10
word:expand start_time:0:10 end_time:0:10
word:this start_time:0:10 end_time:0:10
word:out start_time:0:10 end_time:0:11
word:this start_time:0:11 end_time:0:11
word:is start_time:0:11 end_time:0:11
word:equal start_time:0:11 end_time:0:12
word:to start_time:0:12 end_time:0:12
word:this start_time:0:12 end_time:0:12
word:is start_time:0:12 end_time:0:13
word:equal start_time:0:13 end_time:0:13
word:to start_time:0:13 end_time:0:13
word:0 start_time:0:13 end_time:0:15
word:squared start_time:0:15 end_time:0:15
word:+ start_time:0:15 end_time:0:16
word:1 start_time:0:16 end_time:0:16
word:squared start_time:0:16 end_time:0:16
word:+ start_time:0:16 end_time:0:17
word:2 start_time:0:17 end_time:0:17
word:squared start_time:0:17 end_time:0:17
word:+ start_time:0:17 end_time:0:19
word:3 start_time:0:19 end_time:0:19
word:squared start_time:0:19 end_time:0:19
word:and start_time:0:19 end_time:0:20
word:we're start_time:0:20 end_time:0:20
word:going start_time:0:20 end_time:0:20
word:to start_time:0:20 end_time:0:20
word:keep start_time:0:20 end_time:0:20
word:on start_time:0:20 end_time:0:20
word:going start_time:0:20 end_time:0:21
word:all start_time:0:21 end_time:0:21
word:the start_time:0:21 end_time:0:21
word:way start_time:0:21 end_time:0:21
word:to start_time:0:21 end_time:0:22
word:and start_time:0:22 end_time:0:22
word:square start_time:0:22 end_time:0:22
word:to start_time:0:22 end_time:0:23
word:my start_time:0:23 end_time:0:23
word:goal start_time:0:23 end_time:0:23
