word:all start_time:0:0 end_time:0:1
word:right start_time:0:1 end_time:0:1
word:so start_time:0:1 end_time:0:1
word:at start_time:0:1 end_time:0:1
word:this start_time:0:1 end_time:0:1
word:point start_time:0:1 end_time:0:2
word:to start_time:0:2 end_time:0:6
word:make start_time:0:6 end_time:0:6
word:life start_time:0:6 end_time:0:6
word:a start_time:0:6 end_time:0:6
word:lot start_time:0:6 end_time:0:6
word:easier start_time:0:6 end_time:0:7
word:at start_time:0:7 end_time:0:8
word:least start_time:0:8 end_time:0:8
word:I start_time:0:8 end_time:0:8
word:just start_time:0:8 end_time:0:13
word:want start_time:0:13 end_time:0:13
word:to start_time:0:13 end_time:0:13
word:find start_time:0:13 end_time:0:13
word:the start_time:0:13 end_time:0:14
word:derivative start_time:0:14 end_time:0:14
word:of start_time:0:14 end_time:0:14
word:each start_time:0:14 end_time:0:15
word:one start_time:0:15 end_time:0:15
word:of start_time:0:15 end_time:0:15
word:these start_time:0:15 end_time:0:15
word:the start_time:0:15 end_time:0:16
word:first start_time:0:16 end_time:0:17
word:one start_time:0:17 end_time:0:17
word:quite start_time:0:17 end_time:0:17
word:easy start_time:0:17 end_time:0:17
word:f start_time:0:19 end_time:0:20
word:x start_time:0:20 end_time:0:21
word:equals start_time:0:21 end_time:0:21
word:x start_time:0:21 end_time:0:21
word:to start_time:0:21 end_time:0:21
word:the start_time:0:21 end_time:0:22
word:town start_time:0:22 end_time:0:22
word:says start_time:0:22 end_time:0:25
word:that start_time:0:25 end_time:0:25
word:the start_time:0:25 end_time:0:27
word:power start_time:0:27 end_time:0:28
word:we start_time:0:28 end_time:0:28
word:just start_time:0:28 end_time:0:28
word:pulled start_time:0:28 end_time:0:29
word:that start_time:0:29 end_time:0:29
word:number start_time:0:29 end_time:0:29
word:out start_time:0:29 end_time:0:29
word:front start_time:0:29 end_time:0:30
word:and start_time:0:30 end_time:0:31
word:then start_time:0:31 end_time:0:32
word:we start_time:0:32 end_time:0:33
word:simply start_time:0:33 end_time:0:33
word:subtract start_time:0:33 end_time:0:34
word:1 start_time:0:34 end_time:0:34
word:from start_time:0:34 end_time:0:34
word:our start_time:0:34 end_time:0:34
word:exponent start_time:0:34 end_time:0:35
word:so start_time:0:35 end_time:0:36
word:we start_time:0:36 end_time:0:36
word:would start_time:0:36 end_time:0:36
word:have start_time:0:36 end_time:0:36
word:10 start_time:0:36 end_time:0:36
word:or start_time:0:36 end_time:0:38
word:try start_time:0:38 end_time:0:46
word:to start_time:0:46 end_time:0:46
word:use start_time:0:46 end_time:0:46
word:that start_time:0:46 end_time:0:47
word:long start_time:0:47 end_time:0:47
word:definition start_time:0:47 end_time:0:48
word:at start_time:0:48 end_time:0:48
word:the start_time:0:48 end_time:0:48
word:Vex start_time:0:48 end_time:0:48
word:+ start_time:0:48 end_time:0:49
word:H start_time:0:49 end_time:0:49
word:- start_time:0:49 end_time:0:49
word:f start_time:0:49 end_time:0:49
word:of start_time:0:49 end_time:0:50
word:x start_time:0:50 end_time:0:50
word:over start_time:0:50 end_time:0:50
word:age start_time:0:50 end_time:0:50
word:would start_time:0:50 end_time:0:50
word:take start_time:0:50 end_time:0:51
word:you start_time:0:51 end_time:0:51
word:quite start_time:0:51 end_time:0:51
word:a start_time:0:51 end_time:0:51
word:bit start_time:0:51 end_time:0:51
word:of start_time:0:51 end_time:0:51
word:work start_time:0:51 end_time:0:52
word:to start_time:0:52 end_time:0:52
word:get start_time:0:52 end_time:0:52
word:there start_time:0:52 end_time:0:52
word:so start_time:0:52 end_time:0:52
word:kind start_time:0:52 end_time:0:54
word:of start_time:0:54 end_time:0:54
word:nice start_time:0:54 end_time:0:54
word:out start_time:0:54 end_time:0:54
word:how start_time:0:54 end_time:0:54
word:quick start_time:0:54 end_time:0:55
word:and start_time:0:55 end_time:0:55
word:easy start_time:0:55 end_time:0:55
word:we start_time:0:55 end_time:0:55
word:can start_time:0:55 end_time:0:55
word:get start_time:0:55 end_time:0:55
word:this start_time:0:55 end_time:0:56
word:the start_time:0:56 end_time:0:56
word:weekend start_time:0:56 end_time:0:56
word:or start_time:0:56 end_time:0:58
