word:let' start_time:0:0 end_time:0:1
word:learn start_time:0:1 end_time:0:1
word:about start_time:0:1 end_time:0:1
word:matric start_time:0:1 end_time:0:2
word:so start_time:0:2 end_time:0:3
word:what start_time:0:3 end_time:0:3
word:is start_time:0:3 end_time:0:3
word:it start_time:0:3 end_time:0:3
word:and start_time:0:3 end_time:0:4
word:what start_time:0:4 end_time:0:4
word:what start_time:0:4 end_time:0:4
word:what start_time:0:4 end_time:0:4
word:is start_time:0:4 end_time:0:4
word:what start_time:0:4 end_time:0:4
word:I start_time:0:4 end_time:0:4
word:mean start_time:0:4 end_time:0:4
word:when start_time:0:4 end_time:0:5
word:I start_time:0:5 end_time:0:5
word:say start_time:0:5 end_time:0:5
word:matric start_time:0:5 end_time:0:5
word:what start_time:0:5 end_time:0:6
word:is start_time:0:6 end_time:0:6
word:the start_time:0:6 end_time:0:6
word:plural start_time:0:6 end_time:0:7
word:for start_time:0:7 end_time:0:7
word:matrix start_time:0:7 end_time:0:7
word:probabl start_time:0:9 end_time:0:9
word:a start_time:0:9 end_time:0:9
word:word start_time:0:9 end_time:0:10
word:you'r start_time:0:10 end_time:0:10
word:familiar start_time:0:10 end_time:0:10
word:with start_time:0:10 end_time:0:11
word:more start_time:0:11 end_time:0:11
word:becaus start_time:0:11 end_time:0:11
word:of start_time:0:11 end_time:0:11
word:hollywood start_time:0:11 end_time:0:12
word:than start_time:0:12 end_time:0:12
word:becaus start_time:0:12 end_time:0:12
word:of start_time:0:12 end_time:0:13
word:mathemat start_time:0:13 end_time:0:14
word:so start_time:0:14 end_time:0:15
word:what start_time:0:15 end_time:0:15
word:is start_time:0:15 end_time:0:15
word:a start_time:0:15 end_time:0:16
word:matrix start_time:0:16 end_time:0:16
word:what' start_time:0:16 end_time:0:17
word:actual start_time:0:17 end_time:0:17
word:a start_time:0:17 end_time:0:17
word:pretti start_time:0:17 end_time:0:18
word:simpl start_time:0:18 end_time:0:18
word:idea start_time:0:18 end_time:0:19
word:it' start_time:0:19 end_time:0:20
word:it' start_time:0:20 end_time:0:20
word:just start_time:0:20 end_time:0:20
word:a start_time:0:20 end_time:0:21
word:tabl start_time:0:21 end_time:0:21
word:of start_time:0:21 end_time:0:21
word:number start_time:0:21 end_time:0:22
word:that' start_time:0:22 end_time:0:22
word:all start_time:0:22 end_time:0:22
word:a start_time:0:22 end_time:0:22
word:matrix start_time:0:22 end_time:0:23
word:is start_time:0:23 end_time:0:23
word:so start_time:0:23 end_time:0:23
word:let start_time:0:23 end_time:0:23
word:me start_time:0:23 end_time:0:23
word:let start_time:0:23 end_time:0:24
word:me start_time:0:24 end_time:0:24
word:draw start_time:0:24 end_time:0:24
word:matrix start_time:0:24 end_time:0:25
word:for start_time:0:25 end_time:0:25
word:you start_time:0:25 end_time:0:25
word:I start_time:0:25 end_time:0:25
word:don't start_time:0:25 end_time:0:26
word:like start_time:0:26 end_time:0:26
word:that start_time:0:26 end_time:0:26
word:toothpast start_time:0:26 end_time:0:27
word:color start_time:0:27 end_time:0:27
word:blue start_time:0:27 end_time:0:27
word:so start_time:0:27 end_time:0:27
word:let start_time:0:27 end_time:0:28
word:me start_time:0:28 end_time:0:28
word:use start_time:0:28 end_time:0:28
word:anoth start_time:0:28 end_time:0:28
word:color start_time:0:28 end_time:0:28
word:so start_time:0:28 end_time:0:29
word:thi start_time:0:29 end_time:0:29
word:is start_time:0:29 end_time:0:29
word:an start_time:0:29 end_time:0:30
word:exampl start_time:0:30 end_time:0:30
word:of start_time:0:30 end_time:0:30
word:a start_time:0:30 end_time:0:30
word:matrix start_time:0:30 end_time:0:31
word:if start_time:0:32 end_time:0:33
word:I start_time:0:33 end_time:0:33
word:said start_time:0:33 end_time:0:33
word:I start_time:0:33 end_time:0:34
word:don't start_time:0:34 end_time:0:34
word:know start_time:0:34 end_time:0:34
word:i'm start_time:0:34 end_time:0:34
word:go start_time:0:34 end_time:0:34
word:to start_time:0:34 end_time:0:34
word:pick start_time:0:34 end_time:0:34
word:some start_time:0:34 end_time:0:35
word:random start_time:0:35 end_time:0:35
word:random start_time:0:35 end_time:0:35
word:number start_time:0:35 end_time:0:36
word:out start_time:0:36 end_time:0:36
word:5 start_time:0:36 end_time:0:36
word:1 start_time:0:36 end_time:0:37
word:2 start_time:0:37 end_time:0:38
word:3 start_time:0:38 end_time:0:39
word:0 start_time:0:39 end_time:0:40
word:- start_time:0:40 end_time:0:41
word:5 start_time:0:41 end_time:0:42
word:that start_time:0:43 end_time:0:43
word:is start_time:0:43 end_time:0:44
word:a start_time:0:44 end_time:0:44
word:matrix start_time:0:44 end_time:0:44
word:and start_time:0:44 end_time:0:45
word:all start_time:0:45 end_time:0:45
word:it start_time:0:45 end_time:0:45
word:is start_time:0:45 end_time:0:45
word:is start_time:0:45 end_time:0:45
word:a start_time:0:45 end_time:0:45
word:tabl start_time:0:45 end_time:0:46
word:of start_time:0:46 end_time:0:46
word:number start_time:0:46 end_time:0:46
word:and start_time:0:46 end_time:0:47
