word:let's start_time:0:0 end_time:0:0
word:talk start_time:0:0 end_time:0:1
word:about start_time:0:1 end_time:0:1
word:one start_time:0:1 end_time:0:1
word:of start_time:0:1 end_time:0:1
word:the start_time:0:1 end_time:0:1
word:most start_time:0:1 end_time:0:2
word:important start_time:0:2 end_time:0:2
word:biological start_time:0:2 end_time:0:3
word:processes start_time:0:3 end_time:0:4
word:frankly start_time:0:4 end_time:0:5
word:of start_time:0:5 end_time:0:5
word:this start_time:0:5 end_time:0:5
word:process start_time:0:5 end_time:0:5
word:didn't start_time:0:5 end_time:0:6
word:occur start_time:0:6 end_time:0:6
word:we start_time:0:6 end_time:0:6
word:probably start_time:0:6 end_time:0:7
word:wouldn't start_time:0:7 end_time:0:7
word:have start_time:0:7 end_time:0:7
word:life start_time:0:7 end_time:0:8
word:on start_time:0:8 end_time:0:8
word:Earth start_time:0:8 end_time:0:8
word:and start_time:0:8 end_time:0:8
word:I start_time:0:8 end_time:0:8
word:wouldn't start_time:0:8 end_time:0:8
word:be start_time:0:8 end_time:0:9
word:making start_time:0:9 end_time:0:9
word:this start_time:0:9 end_time:0:9
word:video start_time:0:9 end_time:0:9
word:for start_time:0:9 end_time:0:10
word:you start_time:0:10 end_time:0:10
word:because start_time:0:10 end_time:0:10
word:there start_time:0:10 end_time:0:10
word:would start_time:0:10 end_time:0:10
word:be start_time:0:10 end_time:0:10
word:no start_time:0:10 end_time:0:11
word:place start_time:0:11 end_time:0:11
word:for start_time:0:11 end_time:0:11
word:me start_time:0:11 end_time:0:11
word:to start_time:0:11 end_time:0:11
word:actually start_time:0:11 end_time:0:12
word:get start_time:0:12 end_time:0:12
word:food start_time:0:12 end_time:0:13
word:and start_time:0:13 end_time:0:13
word:the start_time:0:13 end_time:0:13
word:process start_time:0:13 end_time:0:14
word:is start_time:0:14 end_time:0:14
word:called start_time:0:14 end_time:0:14
word:photosynthesis start_time:0:14 end_time:0:16
word:photo start_time:0:16 end_time:0:17
word:synthesis start_time:0:17 end_time:0:20
word:and start_time:0:20 end_time:0:20
word:you're start_time:0:20 end_time:0:21
word:probably start_time:0:21 end_time:0:21
word:reasonably start_time:0:21 end_time:0:22
word:familiar start_time:0:22 end_time:0:22
word:with start_time:0:22 end_time:0:22
word:the start_time:0:22 end_time:0:22
word:idea start_time:0:22 end_time:0:23
word:that start_time:0:23 end_time:0:23
word:the start_time:0:23 end_time:0:23
word:whole start_time:0:23 end_time:0:23
word:idea start_time:0:23 end_time:0:24
word:is start_time:0:24 end_time:0:24
word:is start_time:0:24 end_time:0:24
word:it's start_time:0:24 end_time:0:25
word:plantain start_time:0:25 end_time:0:26
word:that start_time:0:26 end_time:0:26
word:can start_time:0:26 end_time:0:26
word:bacteria start_time:0:26 end_time:0:27
word:and start_time:0:27 end_time:0:27
word:algae start_time:0:27 end_time:0:27
word:and start_time:0:27 end_time:0:28
word:other start_time:0:28 end_time:0:28
word:things start_time:0:28 end_time:0:28
word:but start_time:0:28 end_time:0:29
word:we start_time:0:29 end_time:0:29
word:normally start_time:0:29 end_time:0:29
word:associated start_time:0:29 end_time:0:30
word:with start_time:0:30 end_time:0:30
word:plants start_time:0:30 end_time:0:31
word:let start_time:0:31 end_time:0:31
word:me start_time:0:31 end_time:0:31
word:make start_time:0:31 end_time:0:31
word:it start_time:0:31 end_time:0:31
word:in start_time:0:31 end_time:0:32
word:very start_time:0:32 end_time:0:32
word:simple start_time:0:32 end_time:0:32
word:terms start_time:0:32 end_time:0:32
word:so start_time:0:32 end_time:0:33
word:we start_time:0:33 end_time:0:33
word:normally start_time:0:33 end_time:0:33
word:associated start_time:0:33 end_time:0:34
word:with start_time:0:34 end_time:0:34
word:the start_time:0:34 end_time:0:34
word:plants start_time:0:34 end_time:0:34
word:that's start_time:0:36 end_time:0:36
word:a start_time:0:36 end_time:0:36
word:process start_time:0:36 end_time:0:36
word:that start_time:0:36 end_time:0:37
word:plants start_time:0:37 end_time:0:37
word:use start_time:0:37 end_time:0:37
word:and start_time:0:37 end_time:0:38
word:he start_time:0:38 end_time:0:38
word:might start_time:0:38 end_time:0:38
word:have start_time:0:38 end_time:0:38
word:learned start_time:0:38 end_time:0:38
word:this start_time:0:38 end_time:0:38
word:when start_time:0:38 end_time:0:38
word:we start_time:0:38 end_time:0:39
word:were start_time:0:39 end_time:0:39
word:very start_time:0:39 end_time:0:39
word:young start_time:0:39 end_time:0:39
word:as start_time:0:39 end_time:0:39
word:a start_time:0:39 end_time:0:40
word:process start_time:0:40 end_time:0:40
word:that start_time:0:40 end_time:0:40
word:plants start_time:0:40 end_time:0:40
word:use start_time:0:40 end_time:0:41
word:to start_time:0:41 end_time:0:41
word:take start_time:0:41 end_time:0:41
word:carbon start_time:0:41 end_time:0:42
word:dioxide start_time:0:42 end_time:0:42
word:plus start_time:0:42 end_time:0:44
word:some start_time:0:44 end_time:0:44
word:water start_time:0:44 end_time:0:44
word:plus start_time:0:44 end_time:0:46
word:some start_time:0:46 end_time:0:46
word:water start_time:0:46 end_time:0:46
word:plus start_time:0:46 end_time:0:47
word:some start_time:0:47 end_time:0:47
word:I'll start_time:0:47 end_time:0:47
word:do start_time:0:47 end_time:0:47
word:the start_time:0:47 end_time:0:48
word:yellow start_time:0:48 end_time:0:48
word:plus start_time:0:48 end_time:0:48
word:some start_time:0:48 end_time:0:49
word:sunlight start_time:0:49 end_time:0:49
word:plus start_time:0:51 end_time:0:51
word:some start_time:0:51 end_time:0:52
word:sunlight start_time:0:52 end_time:0:52
word:and start_time:0:52 end_time:0:53
word:turn start_time:0:53 end_time:0:53
word:it start_time:0:53 end_time:0:54
word:into start_time:0:54 end_time:0:54
word:and start_time:0:54 end_time:0:55
word:turn start_time:0:55 end_time:0:55
word:it start_time:0:55 end_time:0:55
word:into start_time:0:55 end_time:0:56
word:some start_time:0:56 end_time:0:56
word:sugars start_time:0:56 end_time:0:57
word:or start_time:0:57 end_time:0:57
word:something start_time:0:57 end_time:0:57
word:maybe start_time:0:57 end_time:0:57
word:carbohydrates start_time:0:57 end_time:0:59
word:carbohydrates start_time:0:59 end_time:1:1
word:or start_time:1:1 end_time:1:2
word:sugars start_time:1:2 end_time:1:2
word:+ start_time:1:2 end_time:1:3
word:oxygen start_time:1:3 end_time:1:4
word:obviously start_time:1:4 end_time:1:4
word:this start_time:1:4 end_time:1:4
word:has start_time:1:4 end_time:1:4
word:two start_time:1:4 end_time:1:5
word:very start_time:1:5 end_time:1:6
word:for start_time:1:6 end_time:1:6
word:profound start_time:1:6 end_time:1:6
word:pieces start_time:1:6 end_time:1:8
word:to start_time:1:8 end_time:1:8
word:it start_time:1:8 end_time:1:8
word:for start_time:1:8 end_time:1:9
word:us start_time:1:9 end_time:1:9
word:as start_time:1:9 end_time:1:9
word:a start_time:1:9 end_time:1:9
word:living start_time:1:9 end_time:1:10
word:species start_time:1:10 end_time:1:10
word:why start_time:1:10 end_time:1:11
word:do start_time:1:11 end_time:1:11
word:we start_time:1:11 end_time:1:11
word:need start_time:1:11 end_time:1:11
word:carbohydrates start_time:1:11 end_time:1:12
word:or start_time:1:12 end_time:1:12
word:we start_time:1:12 end_time:1:12
word:need start_time:1:12 end_time:1:13
word:sugars start_time:1:13 end_time:1:13
word:and start_time:1:13 end_time:1:13
word:in start_time:1:13 end_time:1:13
word:order start_time:1:13 end_time:1:14
word:to start_time:1:14 end_time:1:14
