word:everything start_time:0:0 end_time:0:1
word:we've start_time:0:1 end_time:0:1
word:done start_time:0:1 end_time:0:1
word:up start_time:0:1 end_time:0:1
word:to start_time:0:1 end_time:0:2
word:now start_time:0:2 end_time:0:2
word:has start_time:0:2 end_time:0:2
word:dealt start_time:0:2 end_time:0:3
word:with start_time:0:3 end_time:0:3
word:Cartesian start_time:0:3 end_time:0:4
word:coordinates start_time:0:4 end_time:0:5
word:even start_time:0:5 end_time:0:5
word:though start_time:0:5 end_time:0:5
word:you start_time:0:5 end_time:0:5
word:might start_time:0:5 end_time:0:5
word:have start_time:0:5 end_time:0:5
word:not start_time:0:5 end_time:0:5
word:realize start_time:0:5 end_time:0:6
word:that start_time:0:6 end_time:0:6
word:they start_time:0:6 end_time:0:6
word:were start_time:0:6 end_time:0:6
word:Cartesian start_time:0:6 end_time:0:7
word:coordinates start_time:0:7 end_time:0:7
word:cuz start_time:0:7 end_time:0:7
word:I start_time:0:7 end_time:0:7
word:never start_time:0:7 end_time:0:7
word:called start_time:0:7 end_time:0:8
word:it start_time:0:8 end_time:0:8
word:that start_time:0:8 end_time:0:8
word:before start_time:0:8 end_time:0:9
word:just start_time:0:9 end_time:0:9
word:now start_time:0:9 end_time:0:9
word:so start_time:0:9 end_time:0:10
word:what start_time:0:10 end_time:0:10
word:is start_time:0:10 end_time:0:10
word:a start_time:0:10 end_time:0:10
word:Cartesian start_time:0:10 end_time:0:11
word:coordinate start_time:0:11 end_time:0:11
word:me start_time:0:11 end_time:0:11
word:draw start_time:0:11 end_time:0:12
word:the start_time:0:12 end_time:0:12
word:axes start_time:0:12 end_time:0:12
word:of start_time:0:12 end_time:0:12
word:your start_time:0:12 end_time:0:13
word:hopefully start_time:0:13 end_time:0:13
word:familiar start_time:0:13 end_time:0:14
word:with start_time:0:14 end_time:0:14
word:by start_time:0:14 end_time:0:14
word:now start_time:0:14 end_time:0:14
word:if start_time:0:14 end_time:0:14
word:you're start_time:0:14 end_time:0:14
word:not start_time:0:14 end_time:0:15
word:review start_time:0:15 end_time:0:15
word:those start_time:0:15 end_time:0:16
word:videos start_time:0:16 end_time:0:16
word:on start_time:0:16 end_time:0:17
word:the start_time:0:17 end_time:0:17
word:y-axis start_time:0:17 end_time:0:17
word:and start_time:0:17 end_time:0:18
word:the start_time:0:18 end_time:0:19
word:x-axis start_time:0:19 end_time:0:19
word:as start_time:0:19 end_time:0:20
word:a start_time:0:20 end_time:0:20
word:Cartesian start_time:0:20 end_time:0:21
word:coordinates start_time:0:21 end_time:0:21
word:and start_time:0:21 end_time:0:22
word:actually start_time:0:22 end_time:0:22
word:they start_time:0:22 end_time:0:22
word:can start_time:0:22 end_time:0:22
word:apply start_time:0:22 end_time:0:22
word:to start_time:0:22 end_time:0:22
word:more start_time:0:22 end_time:0:22
word:than start_time:0:22 end_time:0:23
word:just start_time:0:23 end_time:0:23
word:two start_time:0:23 end_time:0:23
word:Dimensions start_time:0:23 end_time:0:23
word:but start_time:0:23 end_time:0:24
word:two start_time:0:24 end_time:0:24
word:Dimensions start_time:0:24 end_time:0:24
word:is start_time:0:24 end_time:0:24
word:what start_time:0:24 end_time:0:24
word:we start_time:0:24 end_time:0:25
word:tend start_time:0:25 end_time:0:25
word:to start_time:0:25 end_time:0:25
word:deal start_time:0:25 end_time:0:25
word:with start_time:0:25 end_time:0:25
word:it start_time:0:27 end_time:0:27
word:if start_time:0:27 end_time:0:27
word:I start_time:0:27 end_time:0:27
word:want start_time:0:27 end_time:0:27
word:to start_time:0:27 end_time:0:27
word:specify start_time:0:27 end_time:0:28
word:any start_time:0:28 end_time:0:28
word:point start_time:0:28 end_time:0:28
word:in start_time:0:28 end_time:0:29
word:two start_time:0:29 end_time:0:29
word:dimensional start_time:0:29 end_time:0:30
word:space start_time:0:30 end_time:0:30
word:I start_time:0:30 end_time:0:30
word:just start_time:0:30 end_time:0:31
word:tell start_time:0:31 end_time:0:31
word:you start_time:0:31 end_time:0:31
word:how start_time:0:31 end_time:0:31
word:far start_time:0:31 end_time:0:32
word:kind start_time:0:32 end_time:0:32
word:of start_time:0:32 end_time:0:32
word:in start_time:0:32 end_time:0:32
word:The start_time:0:32 end_time:0:32
word:X start_time:0:32 end_time:0:33
word:Direction start_time:0:33 end_time:0:33
word:I start_time:0:33 end_time:0:33
word:have start_time:0:33 end_time:0:33
word:to start_time:0:33 end_time:0:33
word:go start_time:0:33 end_time:0:34
word:and start_time:0:34 end_time:0:34
word:how start_time:0:34 end_time:0:34
word:far start_time:0:34 end_time:0:34
word:in start_time:0:34 end_time:0:34
word:the start_time:0:34 end_time:0:34
word:y start_time:0:34 end_time:0:35
word:direction start_time:0:35 end_time:0:35
word:and start_time:0:35 end_time:0:35
word:I start_time:0:35 end_time:0:35
word:can start_time:0:35 end_time:0:35
word:specify start_time:0:35 end_time:0:36
word:that start_time:0:36 end_time:0:36
word:point start_time:0:36 end_time:0:36
word:like start_time:0:36 end_time:0:37
word:let's start_time:0:37 end_time:0:38
word:see start_time:0:38 end_time:0:38
word:if start_time:0:38 end_time:0:38
word:I start_time:0:38 end_time:0:38
word:said start_time:0:38 end_time:0:39
word:well start_time:0:39 end_time:0:39
word:let start_time:0:39 end_time:0:39
word:me start_time:0:39 end_time:0:39
word:give start_time:0:39 end_time:0:39
word:the start_time:0:39 end_time:0:39
word:Cartesian start_time:0:39 end_time:0:40
word:coordinates start_time:0:40 end_time:0:41
word:for start_time:0:41 end_time:0:41
word:that start_time:0:41 end_time:0:41
word:point start_time:0:41 end_time:0:41
word:right start_time:0:41 end_time:0:42
word:there start_time:0:42 end_time:0:42
word:and start_time:0:42 end_time:0:42
word:I start_time:0:42 end_time:0:42
word:might start_time:0:42 end_time:0:43
word:say start_time:0:43 end_time:0:43
word:well start_time:0:43 end_time:0:43
word:to start_time:0:43 end_time:0:44
word:get start_time:0:44 end_time:0:44
word:to start_time:0:44 end_time:0:44
word:that start_time:0:44 end_time:0:44
word:point start_time:0:44 end_time:0:44
word:right start_time:0:44 end_time:0:45
word:there start_time:0:45 end_time:0:45
word:I start_time:0:45 end_time:0:46
word:have start_time:0:46 end_time:0:46
word:to start_time:0:46 end_time:0:46
word:go start_time:0:46 end_time:0:47
word:to start_time:0:47 end_time:0:47
word:the start_time:0:47 end_time:0:47
word:right start_time:0:47 end_time:0:47
word:three start_time:0:47 end_time:0:49
word:steps start_time:0:49 end_time:0:49
word:so start_time:0:50 end_time:0:50
word:this start_time:0:50 end_time:0:51
word:is start_time:0:51 end_time:0:51
word:three start_time:0:51 end_time:0:51
word:right start_time:0:51 end_time:0:51
word:here start_time:0:51 end_time:0:51
word:and start_time:0:51 end_time:0:53
word:then start_time:0:53 end_time:0:53
word:I start_time:0:53 end_time:0:53
word:have start_time:0:53 end_time:0:53
word:to start_time:0:53 end_time:0:53
word:go start_time:0:53 end_time:0:53
word:up start_time:0:53 end_time:0:53
word:for start_time:0:53 end_time:0:54
word:steps start_time:0:54 end_time:0:54
word:1 start_time:0:54 end_time:0:55
word:2 start_time:0:55 end_time:0:55
word:3 start_time:0:55 end_time:0:56
word:4 start_time:0:56 end_time:0:57
word:and start_time:0:57 end_time:0:57
word:you start_time:0:57 end_time:0:57
word:end start_time:0:57 end_time:0:58
word:up start_time:0:58 end_time:0:58
word:there start_time:0:58 end_time:0:58
word:and start_time:0:58 end_time:0:58
word:buy start_time:0:58 end_time:0:59
word:convention start_time:0:59 end_time:0:59
word:called start_time:0:59 end_time:0:59
word:us start_time:0:59 end_time:1:0
word:the start_time:1:0 end_time:1:0
word:x-coordinate start_time:1:0 end_time:1:0
word:we start_time:1:0 end_time:1:0
word:call start_time:1:0 end_time:1:1
word:this start_time:1:1 end_time:1:1
word:the start_time:1:1 end_time:1:1
word:y-coordinate start_time:1:1 end_time:1:2
word:and start_time:1:2 end_time:1:2
word:we start_time:1:2 end_time:1:2
word:call start_time:1:2 end_time:1:2
word:this start_time:1:2 end_time:1:3
word:3, start_time:1:3 end_time:1:5
word:for start_time:1:5 end_time:1:5
word:this start_time:1:5 end_time:1:5
word:is start_time:1:5 end_time:1:5
word:just start_time:1:5 end_time:1:6
word:a start_time:1:6 end_time:1:6
word:convention start_time:1:6 end_time:1:6
word:where start_time:1:6 end_time:1:6
word:we start_time:1:6 end_time:1:7
word:say start_time:1:7 end_time:1:7
word:the start_time:1:7 end_time:1:7
word:first start_time:1:7 end_time:1:7
word:coordinate start_time:1:7 end_time:1:8
word:is start_time:1:8 end_time:1:8
word:how start_time:1:8 end_time:1:8
word:far start_time:1:8 end_time:1:8
word:in start_time:1:8 end_time:1:9
word:the start_time:1:9 end_time:1:9
word:X start_time:1:9 end_time:1:9
word:direction start_time:1:9 end_time:1:9
word:we start_time:1:9 end_time:1:10
word:go start_time:1:10 end_time:1:10
word:and start_time:1:10 end_time:1:10
word:the start_time:1:10 end_time:1:10
word:second start_time:1:10 end_time:1:11
word:coordinate start_time:1:11 end_time:1:12
word:is start_time:1:12 end_time:1:12
word:how start_time:1:12 end_time:1:12
word:far start_time:1:12 end_time:1:13
word:the start_time:1:13 end_time:1:13
word:up start_time:1:13 end_time:1:13
word:and start_time:1:13 end_time:1:13
word:down start_time:1:13 end_time:1:13
word:or start_time:1:13 end_time:1:14
word:the start_time:1:14 end_time:1:14
word:wide start_time:1:14 end_time:1:14
word:receiver start_time:1:14 end_time:1:14
word:has start_time:1:14 end_time:1:15
word:three, start_time:1:15 end_time:1:15
word:four start_time:1:15 end_time:1:16
word:to start_time:1:16 end_time:1:17
word:the start_time:1:17 end_time:1:17
word:right start_time:1:17 end_time:1:17
word:and start_time:1:17 end_time:1:17
word:for start_time:1:17 end_time:1:17
word:up start_time:1:17 end_time:1:18
word:or start_time:1:18 end_time:1:18
word:we start_time:1:18 end_time:1:19
word:could start_time:1:19 end_time:1:19
word:have start_time:1:19 end_time:1:19
