word:welcome start_time:0:0 end_time:0:1
word:back start_time:0:1 end_time:0:1
word:I'm start_time:0:1 end_time:0:2
word:not start_time:0:2 end_time:0:2
word:going start_time:0:2 end_time:0:2
word:to start_time:0:2 end_time:0:2
word:introduce start_time:0:2 end_time:0:2
word:you start_time:0:2 end_time:0:2
word:to start_time:0:2 end_time:0:3
word:the start_time:0:3 end_time:0:3
word:concepts start_time:0:3 end_time:0:3
word:of start_time:0:3 end_time:0:3
word:work start_time:0:3 end_time:0:4
word:and start_time:0:4 end_time:0:4
word:energy start_time:0:4 end_time:0:4
word:and start_time:0:4 end_time:0:5
word:these start_time:0:5 end_time:0:5
word:are start_time:0:5 end_time:0:6
word:two start_time:0:6 end_time:0:6
word:words start_time:0:6 end_time:0:6
word:that start_time:0:6 end_time:0:6
word:are start_time:0:6 end_time:0:6
word:rhyme start_time:0:6 end_time:0:7
word:sure start_time:0:7 end_time:0:7
word:you start_time:0:7 end_time:0:8
word:use start_time:0:8 end_time:0:8
word:in start_time:0:8 end_time:0:8
word:your start_time:0:8 end_time:0:8
word:everyday start_time:0:8 end_time:0:8
word:life start_time:0:8 end_time:0:8
word:already start_time:0:8 end_time:0:9
word:have start_time:0:9 end_time:0:9
word:some start_time:0:9 end_time:0:9
word:notion start_time:0:9 end_time:0:10
word:of start_time:0:10 end_time:0:10
word:what start_time:0:10 end_time:0:10
word:they start_time:0:10 end_time:0:10
word:mean start_time:0:10 end_time:0:11
word:but start_time:0:11 end_time:0:12
word:maybe start_time:0:12 end_time:0:12
word:just start_time:0:12 end_time:0:12
word:not start_time:0:12 end_time:0:12
word:in start_time:0:12 end_time:0:12
word:the start_time:0:12 end_time:0:12
word:physics start_time:0:12 end_time:0:13
word:contacts start_time:0:13 end_time:0:13
word:although start_time:0:13 end_time:0:13
word:they're start_time:0:13 end_time:0:13
word:not start_time:0:13 end_time:0:14
word:completely start_time:0:14 end_time:0:14
word:unrelated start_time:0:14 end_time:0:14
word:so start_time:0:14 end_time:0:15
word:work start_time:0:15 end_time:0:16
word:and start_time:0:17 end_time:0:17
word:you start_time:0:17 end_time:0:17
word:know start_time:0:17 end_time:0:17
word:what start_time:0:17 end_time:0:17
word:work start_time:0:17 end_time:0:18
word:is start_time:0:18 end_time:0:18
word:work start_time:0:18 end_time:0:18
word:is start_time:0:18 end_time:0:18
word:when start_time:0:18 end_time:0:19
word:you start_time:0:19 end_time:0:19
word:do start_time:0:19 end_time:0:19
word:something start_time:0:19 end_time:0:19
word:you start_time:0:19 end_time:0:20
word:go start_time:0:20 end_time:0:20
word:to start_time:0:20 end_time:0:20
word:work start_time:0:20 end_time:0:20
word:you start_time:0:20 end_time:0:21
word:make start_time:0:21 end_time:0:21
word:a start_time:0:21 end_time:0:21
word:living start_time:0:21 end_time:0:21
word:in start_time:0:21 end_time:0:22
word:physics start_time:0:22 end_time:0:22
word:work start_time:0:22 end_time:0:23
word:is start_time:0:23 end_time:0:23
word:just start_time:0:23 end_time:0:24
word:a start_time:0:24 end_time:0:24
word:lot start_time:0:24 end_time:0:25
word:of start_time:0:25 end_time:0:25
word:words start_time:0:25 end_time:0:25
word:and start_time:0:25 end_time:0:25
word:and start_time:0:25 end_time:0:25
word:they start_time:0:25 end_time:0:27
word:actually start_time:0:27 end_time:0:27
word:end start_time:0:27 end_time:0:27
word:up start_time:0:27 end_time:0:27
word:being start_time:0:27 end_time:0:27
word:kind start_time:0:27 end_time:0:28
word:of start_time:0:28 end_time:0:28
word:circular start_time:0:28 end_time:0:28
word:definitions start_time:0:28 end_time:0:29
word:but start_time:0:29 end_time:0:29
word:I start_time:0:29 end_time:0:29
word:think start_time:0:29 end_time:0:29
word:when start_time:0:29 end_time:0:30
word:we start_time:0:30 end_time:0:30
word:start start_time:0:30 end_time:0:30
word:doing start_time:0:30 end_time:0:30
word:the start_time:0:30 end_time:0:30
word:math start_time:0:30 end_time:0:31
word:will start_time:0:31 end_time:0:31
word:start start_time:0:31 end_time:0:31
word:to start_time:0:31 end_time:0:31
word:get start_time:0:31 end_time:0:31
word:at start_time:0:31 end_time:0:31
word:least start_time:0:31 end_time:0:31
word:a start_time:0:31 end_time:0:31
word:slightly start_time:0:31 end_time:0:32
word:more start_time:0:32 end_time:0:32
word:intuitive start_time:0:32 end_time:0:32
word:notion start_time:0:32 end_time:0:33
word:of start_time:0:33 end_time:0:33
word:what start_time:0:33 end_time:0:34
word:they start_time:0:34 end_time:0:34
word:all start_time:0:34 end_time:0:34
word:are start_time:0:34 end_time:0:35
word:so start_time:0:35 end_time:0:35
word:work start_time:0:35 end_time:0:35
word:is start_time:0:35 end_time:0:36
word:energy start_time:0:36 end_time:0:36
word:transferred start_time:0:36 end_time:0:37
word:by start_time:0:37 end_time:0:37
word:force start_time:0:37 end_time:0:38
word:I'll start_time:0:38 end_time:0:38
word:write start_time:0:38 end_time:0:39
word:that start_time:0:39 end_time:0:39
word:down start_time:0:39 end_time:0:39
word:energy start_time:0:39 end_time:0:39
word:transferred start_time:0:41 end_time:0:42
word:and start_time:0:42 end_time:0:43
word:I start_time:0:43 end_time:0:43
word:got start_time:0:43 end_time:0:43
word:this start_time:0:43 end_time:0:44
word:from start_time:0:44 end_time:0:44
word:Wikipedia start_time:0:44 end_time:0:44
word:cuz start_time:0:44 end_time:0:44
word:I start_time:0:44 end_time:0:45
word:wanted start_time:0:45 end_time:0:45
word:a start_time:0:45 end_time:0:45
word:good start_time:0:45 end_time:0:45
word:I start_time:0:45 end_time:0:46
word:guess start_time:0:46 end_time:0:47
word:relatively start_time:0:47 end_time:0:48
word:intuitive start_time:0:48 end_time:0:48
word:definition start_time:0:48 end_time:0:49
word:energy start_time:0:49 end_time:0:50
word:transferred start_time:0:50 end_time:0:50
word:by start_time:0:50 end_time:0:51
word:a start_time:0:51 end_time:0:51
word:force start_time:0:51 end_time:0:51
word:that start_time:0:51 end_time:0:52
word:makes start_time:0:52 end_time:0:52
word:reasonable start_time:0:52 end_time:0:53
word:sense start_time:0:53 end_time:0:54
word:to start_time:0:54 end_time:0:54
word:me start_time:0:54 end_time:0:54
word:but start_time:0:54 end_time:0:54
word:then start_time:0:54 end_time:0:54
word:you're start_time:0:54 end_time:0:54
word:wondering start_time:0:54 end_time:0:55
word:well start_time:0:55 end_time:0:55
word:I start_time:0:55 end_time:0:55
word:don't start_time:0:55 end_time:0:55
word:know start_time:0:55 end_time:0:55
word:forces start_time:0:55 end_time:0:56
word:you start_time:0:56 end_time:0:56
word:know start_time:0:56 end_time:0:56
word:force start_time:0:56 end_time:0:57
word:is start_time:0:57 end_time:0:57
word:mass start_time:0:57 end_time:0:57
word:times start_time:0:57 end_time:0:57
word:acceleration start_time:0:57 end_time:0:58
word:but start_time:0:58 end_time:0:58
word:but start_time:0:58 end_time:0:58
word:what start_time:0:58 end_time:0:58
word:is start_time:0:58 end_time:0:59
word:energy start_time:0:59 end_time:0:59
word:that start_time:0:59 end_time:1:0
word:I start_time:1:0 end_time:1:0
word:looked start_time:1:0 end_time:1:0
word:up start_time:1:0 end_time:1:0
word:energy start_time:1:0 end_time:1:0
word:and start_time:1:2 end_time:1:3
word:I start_time:1:3 end_time:1:3
word:found start_time:1:3 end_time:1:3
word:this start_time:1:3 end_time:1:3
word:well start_time:1:3 end_time:1:4
word:entertaining start_time:1:4 end_time:1:5
word:but start_time:1:5 end_time:1:5
word:it start_time:1:5 end_time:1:5
word:also start_time:1:5 end_time:1:5
word:I start_time:1:5 end_time:1:6
word:think start_time:1:6 end_time:1:6
word:Seth start_time:1:6 end_time:1:6
word:tells start_time:1:6 end_time:1:6
word:you start_time:1:6 end_time:1:6
word:something start_time:1:6 end_time:1:7
word:that start_time:1:7 end_time:1:7
